game[5] stats={'a': -0.5, 'b': 0.5, 'c': -1, 'd': -1, 'e': -1} media=11.8
game[6] stats={'a': 0.0, 'b': 0.5, 'c': -1, 'd': -1, 'e': -1} media=0.0
game[7] stats={'a': -1, 'b': 1.0, 'c': -1, 'd': -1, 'e': -1} media=48.8
game[8] stats={'a': -0.5, 'b': 1.0, 'c': -1, 'd': -1, 'e': -1} media=10.8
game[9] stats={'a': 0.0, 'b': 1.0, 'c': -1, 'd': -1, 'e': -1} media=0.0
game[10] stats={'a': -1, 'b': 0, 'c': -0.5, 'd': -1, 'e': -1} media=64.0
game[11] stats={'a': -0.5, 'b': 0, 'c': -0.5, 'd': -1, 'e': -1} media=37.4
game[12] stats={'a': 0.0, 'b': 0, 'c': -0.5, 'd': -1, 'e': -1} media=0.0
game[13] stats={'a': -1, 'b': 0.5, 'c': -0.5, 'd': -1, 'e': -1} media=39.2
game[14] stats={'a': -0.5, 'b': 0.5, 'c': -0.5, 'd': -1, 'e': -1} media=38.8
game[15] stats={'a': 0.0, 'b': 0.5, 'c': -0.5, 'd': -1, 'e': -1} media=0.2
game[16] stats={'a': -1, 'b': 1.0, 'c': -0.5, 'd': -1, 'e': -1} media=64.0
game[17] stats={'a': -0.5, 'b': 1.0, 'c': -0.5, 'd': -1, 'e': -1} media=81.8
game[18] stats={'a': 0.0, 'b': 1.0, 'c': -0.5, 'd': -1, 'e': -1} media=1.2
game[19] stats={'a': -1, 'b': 0, 'c': 0.0, 'd': -1, 'e': -1} media=26.6
game[20] stats={'a': -0.5, 'b': 0, 'c': 0.0, 'd': -1, 'e': -1} media=47.8
game[21] stats={'a': 0.0, 'b': 0, 'c': 0.0, 'd': -1, 'e': -1} media=24.4
game[22] stats={'a': -1, 'b': 0.5, 'c': 0.0, 'd': -1, 'e': -1} media=53.2
game[23] stats={'a': -0.5, 'b': 0.5, 'c': 0.0, 'd': -1, 'e': -1} media=57.0
game[24] stats={'a': 0.0, 'b': 0.5, 'c': 0.0, 'd': -1, 'e': -1} media=28.6
game[25] stats={'a': -1, 'b': 1.0, 'c': 0.0, 'd': -1, 'e': -1} media=53.6
game[26] stats={'a': -0.5, 'b': 1.0, 'c': 0.0, 'd': -1, 'e': -1} media=84.4
game[27] stats={'a': 0.0, 'b': 1.0, 'c': 0.0, 'd': -1, 'e': -1} media=24.0
game[28] stats={'a': -1, 'b': 0, 'c': -1, 'd': -0.5, 'e': -1} media=32.8
game[29] stats={'a': -0.5, 'b': 0, 'c': -1, 'd': -0.5, 'e': -1} media=2.6
game[30] stats={'a': 0.0, 'b': 0, 'c': -1, 'd': -0.5, 'e': -1} media=0.0
game[31] stats={'a': -1, 'b': 0.5, 'c': -1, 'd': -0.5, 'e': -1} media=45.0
game[32] stats={'a': -0.5, 'b': 0.5, 'c': -1, 'd': -0.5, 'e': -1} media=10.2
game[33] stats={'a': 0.0, 'b': 0.5, 'c': -1, 'd': -0.5, 'e': -1} media=0.0
game[34] stats={'a': -1, 'b': 1.0, 'c': -1, 'd': -0.5, 'e': -1} media=64.0
game[35] stats={'a': -0.5, 'b': 1.0, 'c': -1, 'd': -0.5, 'e': -1} media=21.0
game[36] stats={'a': 0.0, 'b': 1.0, 'c': -1, 'd': -0.5, 'e': -1} media=4.0
game[37] stats={'a': -1, 'b': 0, 'c': -0.5, 'd': -0.5, 'e': -1} media=62.8
game[38] stats={'a': -0.5, 'b': 0, 'c': -0.5, 'd': -0.5, 'e': -1} media=75.8
game[39] stats={'a': 0.0, 'b': 0, 'c': -0.5, 'd': -0.5, 'e': -1} media=0.0
game[40] stats={'a': -1, 'b': 0.5, 'c': -0.5, 'd': -0.5, 'e': -1} media=61.0
game[41] stats={'a': -0.5, 'b': 0.5, 'c': -0.5, 'd': -0.5, 'e': -1} media=58.4
game[42] stats={'a': 0.0, 'b': 0.5, 'c': -0.5, 'd': -0.5, 'e': -1} media=0.2
game[43] stats={'a': -1, 'b': 1.0, 'c': -0.5, 'd': -0.5, 'e': -1} media=102.6
game[44] stats={'a': -0.5, 'b': 1.0, 'c': -0.5, 'd': -0.5, 'e': -1} media=55.2
game[45] stats={'a': 0.0, 'b': 1.0, 'c': -0.5, 'd': -0.5, 'e': -1} media=0.4
game[46] stats={'a': -1, 'b': 0, 'c': 0.0, 'd': -0.5, 'e': -1} media=81.4
game[47] stats={'a': -0.5, 'b': 0, 'c': 0.0, 'd': -0.5, 'e': -1} media=47.0
game[48] stats={'a': 0.0, 'b': 0, 'c': 0.0, 'd': -0.5, 'e': -1} media=18.6
